evidence_source,split,sample_id,source_group,diagnosis_class,visual_classification,visual_reason,comparison_strip
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV091_00001_001_01,REAL_ENV091_00001,R1_GOOD_BUT_BOUNDARY_BAD,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV091_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV103_00003_001_01,REAL_ENV103_00003,R1_GOOD_BUT_OUTSIDE_BAD,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV103_00003_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV093_00001_001_01,REAL_ENV093_00001,R1_TIE,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV093_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV103_00004_001_01,REAL_ENV103_00004,R1_GOOD_BUT_BOUNDARY_BAD,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV103_00004_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV095_00001_001_01,REAL_ENV095_00001,R1_TIE,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV095_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV095_00002_001_01,REAL_ENV095_00002,R1_GOOD_BUT_OUTSIDE_BAD,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV095_00002_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV095_00003_001_01,REAL_ENV095_00003,R1_WORSE,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV095_00003_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV104_00001_001_01,REAL_ENV104_00001,R1_GOOD_LOCAL_IMPROVEMENT_NOT_DECISIVE,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV104_00001_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV105_00004_001_01,REAL_ENV105_00004,R1_WORSE,SLIGHT_LOCAL_IMPROVEMENT_NOT_DECISIVE,"Some mask/boundary metric improvement and visible local change, but visual review is subtle and not consistently better.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV105_00004_001_01/step0_vs_step_strip_16.jpg
exp38_train_overfit_exp37_R1_existing_outputs,heldout,REAL_ENV104_00003_001_01,REAL_ENV104_00003,R1_GOOD_BUT_OUTSIDE_BAD,VISIBLE_CHANGE_NOT_QUALITY_POSITIVE,"Step output differs from Step0, but compact review does not show a reliable quality gain.",/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp38_minimax_full_adapter_breakthrough/train_overfit_20260628/outputs/exp37_r1_localdpo_badnoise/heldout/REAL_ENV104_00003_001_01/step0_vs_step_strip_16.jpg
